collection,pattern,model,structure,dimension,thickness,width,length,images,description
Plank,plank,Easy,15/4,15/4 x 50 x 800/2200 mm,15,50.0,800.0,3,"Model recalls the glamor of old Parisian streets, where ancient and modern mix to give life to new elegant harmonies. Sm"
Plank,plank,Domino 90,15/4,15/4 x 90 x 1200/2200 mm,15,90.0,1200.0,4,"Domino Model proposes wooden floors suitable for any space and easy to maintain, with 90 mm planks depending on availabi"
Plank,plank,Alabama,10/3,10/3 x 140/150/160 x 600/2200 mm,10,140.0,600.0,3,"Model proposes wooden floors suitable for any space and easy to maintain, with 140/160 mm planks depending on availabili"
Plank,plank,Domus,11/4,11/4 x 140 x 600/2200 mm,11,140.0,600.0,4,Model of DOGHE Collection is the perfect choice to emphasize elegance in any space. Medium-large planks to give depth to
Plank,plank,Domino 90 S,15/4,15/4 x 90 x 500/1000 mm,15,90.0,500.0,4,"Domino Model proposes wooden floors suitable for any space and easy to maintain, with 90 mm planks depending on availabi"
Plank,plank,Domino,15/4,15/4 x 140 x 600/2200 mm,15,140.0,600.0,3,"Model proposes wooden floors suitable for any space and easy to maintain, with 140 mm planks depending on availability, "
Plank,plank,Odeon S,15/4,15/4 x 180 x 600/2200 mm,15,180.0,600.0,4,Elegant and sophisticated. Resistant and practical. Odeon Model combines aesthetics and functionality. With a thickness 
Plank,plank,Odeon,15/4,15/4 x 200/220 x 600/2200 mm,15,200.0,600.0,6,Elegant and sophisticated. Resistant and practical. Odeon Model combines aesthetics and functionality. With a thickness 
Plank,plank,Odeon L,15/4,15/4 x 240/260 x 600/2200 mm,15,240.0,600.0,3,Elegant and sophisticated. Resistant and practical. Odeon Model combines aesthetics and functionality. With a thickness 
Plank,plank,Pantheon,15/4,15/4 x 290/300 x 600/2200 mm,15,290.0,600.0,3,Model proposes 290 mm wide super planks: large boards with a classic appeal. The large size of the planks stands out esp
Plank,plank,Megaron,15/4,15/4 x 140-180-220 x 600/2200 mm,15,140.0,600.0,3,"Model captures the charm of the DOGHE collection. Multi-width boards to give new depth to spaces and a 4 mm noble layer,"
Plank,plank,Storia,16/5,16/5 x 180/200/220 x 1200/2200 mm,16,180.0,1200.0,3,"Model seems to hold an ancient tale, full of mystery and charm. A hand-made waning grout, an even brushed surface, a thr"
Plank,plank,Barrique,17/6,17/6 x 220 x 1200/2200 mm,17,220.0,1200.0,5,"Embossed knots repaired with waning grout, uneven and non-planar brushed surface: Barrique Model enhances the natural pe"
Chevron 45°,chevron-45,Gautier 45,15/4,15/4 x 50 x 550 mm,15,50.0,550.0,3,"Gautier Model recalls the glamor of old Parisian streets, where ancient and modern mix to give life to elegant new harmo"
Chevron 45°,chevron-45,Londra 45,10/4,10/4 x 70 x 420 mm,10,70.0,420.0,4,"Londra Model is characterized by a thickness of 10 mm, of which 4 of noble wood, and 70 mm width. Small slates with redu"
Chevron 45°,chevron-45,Castello,11/4,11/4 x 90 x 510 mm,11,90.0,510.0,4,Model is meant for the realization of classic laying known as Hungarian or French herringbone. Two are the recommended l
Chevron 45°,chevron-45,Austria,,,,,,3,
Chevron 45°,chevron-45,Marchesi,15/4,15/4 x 120 x 580/680 mm,15,120.0,580.0,5,Model is meant for the realization of classic laying known as Hungarian or French herringbone. Two are the recommended l
Chevron 45°,chevron-45,Amburgo,15/4,15/4 x 140 x 560/860 mm,15,140.0,560.0,4,Model is meant for the realization of classic laying known as Hungarian or French herringbone. Two are the recommended l
Herringbone 90°,herringbone-90,Gautier,15/4,15/4 x 50 x 600 mm,15,50.0,600.0,2,"﻿ Gautier Model recalls the glamor of old Parisian streets, where ancient and modern mix to give life to elegant new har"
Herringbone 90°,herringbone-90,Londra,10/4,10/4 x 70 x 500/600 mm,10,70.0,500.0,2,"Model is characterized by a thickness of 10 mm, of which 4 of noble wood, and 70 mm width. Small slats with reduced thic"
Herringbone 90°,herringbone-90,Pirenei,11/4,11/4 x 90 x 600 mm,11,90.0,600.0,2,"Model offers different installation designs as solutions to multiple architectural styles. The elements, usable for the "
Herringbone 90°,herringbone-90,Duca,,,,,,3,
Herringbone 90°,herringbone-90,Savoia,,,,,,3,
Herringbone 90°,herringbone-90,Borghese,,,,,,4,
Chevron 30°,chevron-30,Chevron 30° (Spina Francese),,,,,,0,French herringbone laid at 30° — made to order in the Alma essences and colours.
Geometric,geometric,Esagono,15/4,"15/4 x 200 x 230,9 mm",15,200.0,230.9,4,"Six sides. Several treatments. A thousand facets. Esagono Model plays with the past, making it contemporary and sophisti"
Geometric,geometric,Treccia,,,,,,5,
Geometric,geometric,Palladio,,,,,,5,
Geometric,geometric,Rombi,,,,,,4,
Geometric,geometric,Duomo,,,,,,5,
Geometric,geometric,Rubik,,,,,,3,
Geometric,geometric,Onda,,,,,,4,
Geometric,geometric,Spiga,,,,,,6,
Geometric,geometric,Trend,,,,,,3,
Design,design,Versailles 01,15/4,15/4 x 980 x 980 mm,15,980.0,980.0,4,The elegance of an 18th century palace in a modern key: Versailles Model from Design Collection captures the luxury and 
Design,design,Versailles 02,15/4,15/4 x 782.3 x 782.3 mm,15,782.3,782.3,2,The elegance of an 18th century palace in a modern key: Versailles Model from Design Collection captures the luxury and 
Design,design,Chantilly 01,15/4,15/4 x 960 x 960 mm,15,960.0,960.0,3,"Getting home with surprise, every day: this is the effect of Chantilly Model. A subtle play of joints and precise geomet"
Design,design,Chantilly 02,15/4,15/4 x 740 x 740 mm,15,740.0,740.0,3,"Getting home with surprise, every day: this is the effect of Chantilly Model. A subtle play of joints and precise geomet"
Design,design,Canareggio,15/4,15/4 x 800 x 800 mm,15,800.0,800.0,1,"Model offers unique pieces made by hand with great skill and precision. All pieces are groove-groove assembled, thus ens"
Design,design,Versace,15/4,15/4 x 850 x 850 mm,15,850.0,850.0,1,"Unique pieces set like diamonds, geometries capable of becoming protagonists of every space. Versace Model makes preciou"
Design,design,Arsenale,15/4,15/4 x 670 x 670 mm,15,670.0,670.0,4,"Refined and exclusive, Arsenale Model of the Design Collection captures the glances with discretion, to fully integrate "
Inlay,inlay,Inlay (Intarsi),,,,,,0,"Custom marquetry / inlay parquet — bespoke designs, borders and medallions."
Decking,decking,Teak Asia,,,,,,0,Asian teak outdoor decking board.
Accessories,accessory,Stair skirt,,,,,,0,Matching stair skirting / nosing profile.
Accessories,accessory,Skirting,,,,,,0,Matching wood skirting board (battiscopa).
Accessories,accessory,Alma Clean,,,,,,0,Maintenance product: routine cleaner for finished floors.
Accessories,accessory,Alma Lux,,,,,,0,Maintenance product: protective polish for lacquered floors.
Accessories,accessory,Alma Soap,,,,,,0,Maintenance product: soap for oiled floors.
Accessories,accessory,Alma Oil,,,,,,0,Maintenance product: refreshing oil for oiled floors.
Accessories,accessory,Oil Care Plus,,,,,,0,Maintenance product: deep nourishing oil care.
